date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:13	19344/19344	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:31%20GMT	https://ftplay.top/wp-content/uploads/2024/01/cropped-Camada-1-1-180x180.png	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/uploads/2024/01/cropped-Camada-1-1-180x180.png	(from https://ftplay.top/dmca)
14:09:13	4668/4668	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:13:48%20GMT	https://ftplay.top/wp-content/uploads/2024/01/tv.png	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/uploads/2024/01/tv.png	(from https://ftplay.top/dmca)
14:09:13	483/483	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Oct%202024%2020:15:25%20GMT	https://ftplay.top/wp-content/plugins/wp-content-copy-protector/images/warning.png	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/plugins/wp-content-copy-protector/images/warning.png	(from https://ftplay.top/dmca)
14:09:14	2937/2937	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Oct%202024%2020:14:11%20GMT	https://ftplay.top/wp-content/themes/hello-elementor/assets/js/hello-frontend.min.js?ver=3.0.0	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/themes/hello-elementor/assets/js/hello-frontend.min6e0e.js	(from https://ftplay.top/dmca)
14:09:14	49/49	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Oct%202024%2020:11:41%20GMT	https://ftplay.top/wp-content/uploads/wpmss/wpmssab.min.js?ver=1704337610	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/uploads/wpmss/wpmssab.min1d06.js	(from https://ftplay.top/dmca)
14:09:14	262866/262866	---MCZ	200	added ('OK')	text/html	date:Wed,%2012%20Mar%202025%2009:25:53%20GMT	https://ftplay.top/	C:/Meus%20Sites/DMCA/ftplay.top/index.html	(from https://ftplay.top/dmca)
14:09:14	7450/7450	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2028%20Feb%202025%2003:27:43%20GMT	https://ftplay.top/wp-content/plugins/mousewheel-smooth-scroll/js/SmoothScroll.min.js?ver=1.5.1	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/plugins/mousewheel-smooth-scroll/js/SmoothScroll.mincc1a.js	(from https://ftplay.top/dmca)
14:09:14	181/181	---M--	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Oct%202024%2020:11:41%20GMT	https://ftplay.top/wp-content/uploads/wpmss/wpmss.min.js?ver=1704337610	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/uploads/wpmss/wpmss.min1d06.js	(from https://ftplay.top/dmca)
14:09:15	1305/1305	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2013%20Nov%202024%2016:47:43%20GMT	https://ftplay.top/wp-content/cache/autoptimize/js/autoptimize_single_12c857147f85781daf5761b8fabfec0c.js?ver=3.9	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/cache/autoptimize/js/autoptimize_single_12c857147f85781daf5761b8fabfec0c7868.js	(from https://ftplay.top/dmca)
14:09:15	5125/5125	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2018%20Oct%202024%2020:18:15%20GMT	https://ftplay.top/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.7.3	C:/Meus%20Sites/DMCA/ftplay.top/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min1ac1.js	(from https://ftplay.top/dmca)
